experiment,trn_FPS,val_FPS
FCN32s-3*1*24-NZ32km2_iter_5000,62.30715999999998,365.87695000000014
FCN16s-3*1*24-NZ32km2_iter_5000,62.39491,365.61274
FCN8s-3*1*24-NZ32km2_iter_5000,62.18852000000001,365.02512999999993
UNet-3*1*24-NZ32km2_iter_5000,192.60679000000005,668.97832
SegNet-3*1*24-NZ32km2_iter_5000,136.75938,498.90434000000016
ResUNet-3*1*24-NZ32km2_iter_5000,145.58048000000005,557.0420399999998
MCFCN-3*1*24-NZ32km2_iter_5000,168.7964299999999,623.3453399999999
BRNet-3*1*24-NZ32km2_iter_5000,161.68812,618.1588900000003
FPN-3*1*24-NZ32km2_iter_5000,164.7495799999999,632.7128700000002
FCN32s-3*6*24-Vaihingen_iter_5000,60.23477000000001,235.92858
FCN16s-3*6*24-Vaihingen_iter_5000,60.47914000000002,237.59475
FCN8s-3*6*24-Vaihingen_iter_5000,60.09067,233.35254
UNet-3*6*24-Vaihingen_iter_5000,171.57969,304.72230000000013
SegNet-3*6*24-Vaihingen_iter_5000,127.01883999999998,286.86537999999996
ResUNet-3*6*24-Vaihingen_iter_5000,133.65874000000002,286.88423
MCFCN-3*6*24-Vaihingen_iter_5000,154.38075,297.4658
BRNet-3*6*24-Vaihingen_iter_5000,139.53526000000002,222.82795
FPN-3*6*24-Vaihingen_iter_5000,145.29575,292.2976
